date,value
2021-07-22 04:00:00,0.19014
2021-07-21 04:00:00,0.17509
2021-07-20 04:00:00,0.16456
2021-07-19 04:00:00,0.17884
2021-07-18 04:00:00,0.19023
2021-07-17 04:00:00,0.17106
2021-07-16 04:00:00,0.18661
2021-07-15 04:00:00,0.19533
2021-07-14 04:00:00,0.18973
2021-07-13 04:00:00,0.20586
2021-07-12 04:00:00,0.21707
2021-07-11 04:00:00,0.21179
2021-07-10 04:00:00,0.21936
2021-07-09 04:00:00,0.20417
2021-07-08 04:00:00,0.21961
2021-07-07 04:00:00,0.23464
2021-07-06 04:00:00,0.23488
2021-07-05 04:00:00,0.24243
2021-07-04 04:00:00,0.24499
2021-07-03 04:00:00,0.24317
2021-07-02 04:00:00,0.24117
2021-07-01 04:00:00,0.2435
2021-06-30 04:00:00,0.25531
2021-06-29 04:00:00,0.2552
2021-06-28 04:00:00,0.25581
2021-06-27 04:00:00,0.25181
2021-06-26 04:00:00,0.24463
2021-06-25 04:00:00,0.26271
2021-06-24 04:00:00,0.22932
2021-06-23 04:00:00,0.2094
2021-06-22 04:00:00,0.20817
2021-06-21 04:00:00,0.26513
2021-06-20 04:00:00,0.28344
2021-06-19 04:00:00,0.28827
2021-06-18 04:00:00,0.30534
2021-06-17 04:00:00,0.31329
2021-06-16 04:00:00,0.31684
2021-06-15 04:00:00,0.32683
2021-06-14 04:00:00,0.32156
2021-06-13 04:00:00,0.30895
2021-06-12 04:00:00,0.30649
2021-06-11 04:00:00,0.32486
2021-06-10 04:00:00,0.33895
2021-06-09 04:00:00,0.31846
2021-06-08 04:00:00,0.32487
2021-06-07 04:00:00,0.37604
2021-06-06 04:00:00,0.37296
2021-06-05 04:00:00,0.38004
2021-06-04 04:00:00,0.39838
2021-06-03 04:00:00,0.42514
2021-06-02 04:00:00,0.37847
2021-06-01 04:00:00,0.32772
2021-05-31 04:00:00,0.29765
2021-05-30 04:00:00,0.29777
2021-05-29 04:00:00,0.317
2021-05-28 04:00:00,0.33857
2021-05-27 04:00:00,0.33408
2021-05-26 04:00:00,0.35499
2021-05-25 04:00:00,0.3448
2021-05-24 04:00:00,0.30635
2021-05-23 04:00:00,0.34564
2021-05-22 04:00:00,0.33984
2021-05-21 04:00:00,0.399
2021-05-20 04:00:00,0.34236
2021-05-19 04:00:00,0.43243
2021-05-18 04:00:00,0.49257
2021-05-17 04:00:00,0.47298
2021-05-16 04:00:00,0.53434
2021-05-15 04:00:00,0.52426
2021-05-14 04:00:00,0.4979
2021-05-13 04:00:00,0.44114
2021-05-12 04:00:00,0.49196
2021-05-11 04:00:00,0.47198
2021-05-10 04:00:00,0.52996
2021-05-09 04:00:00,0.52
2021-05-08 04:00:00,0.71256
2021-05-07 04:00:00,0.57455
2021-05-06 04:00:00,0.63462
2021-05-05 04:00:00,0
